Column Name0,1,2,3,4,5
TG_1,"0.24-->0.7163456972535401","0.7163456972535401-->1.1926913945070803","1.1926913945070803-->3.51634569725354","3.51634569725354-->5.84"
HDL_1,"0.66-->0.997961722628173","0.997961722628173-->1.3359234452563458","1.3359234452563458-->2.067961722628173","2.067961722628173-->2.8"
CHDL_1,"1.99-->3.2583590956648623","3.2583590956648623-->4.526718191329725","4.526718191329725-->6.613359095664862","6.613359095664862-->8.7"
LDLM_1,"1.37-->2.574782684159917","2.574782684159917-->3.7795653683198336","3.7795653683198336-->5.259782684159917","5.259782684159917-->6.74"
HbA1c_1,"4.5-->5.07697123912439","5.07697123912439-->5.653942478248781","5.653942478248781-->7.276971239124391","7.276971239124391-->8.9"
A1_1,"1.0-->1.358655219881776","1.358655219881776-->1.7173104397635521","1.7173104397635521-->1.858655219881776","1.858655219881776-->2.0"
A2_1_500-value,"0.0-->0.8912817488405481","0.8912817488405481-->1.7825634976810962","1.7825634976810962-->75.89128174884054","75.89128174884054-->150.0"
E1_1-weekdaysHrs,"0.5-->2.292311948790792","2.292311948790792-->4.084623897581584","4.084623897581584-->7.5423119487907915","7.5423119487907915-->11.0"
E1_1-weekendsHrs,"0.0-->2.420161939913845","2.420161939913845-->4.84032387982769","4.84032387982769-->6.920161939913845","6.920161939913845-->9.0"
E1_2-weekdaysHrs,"0.0-->4.669227803392489","4.669227803392489-->9.338455606784978","9.338455606784978-->24.669227803392488","24.669227803392488-->40.0"
E1_2-weekendsHrs,"0.0-->2.174944069805642","2.174944069805642-->4.349888139611284","4.349888139611284-->10.174944069805642","10.174944069805642-->16.0"
E1_3,"1.0-->1.6239755986178446","1.6239755986178446-->2.247951197235689","2.247951197235689-->3.123975598617845","3.123975598617845-->4.0"
E1_4_Walking_1-timesPerWeek,"0.0-->0.6027236380001113","0.6027236380001113-->1.2054472760002226","1.2054472760002226-->4.102723638000111","4.102723638000111-->7.0"
E1_4_Walking_2-timesPerWeek,"0.0-->0.035274673541645506","0.035274673541645506-->0.07054934708329101","0.07054934708329101-->2.535274673541646","2.535274673541646-->5.0"
E1_4_Conditioning_9-timesPerWeek,"0.0-->0.5626132954793445","0.5626132954793445-->1.125226590958689","1.125226590958689-->15.562613295479345","15.562613295479345-->30.0"
E1_4_Conditioning_10-timesPerWeek,"0.0-->0.046154278553576455","0.046154278553576455-->0.09230855710715291","0.09230855710715291-->3.5461542785535767","3.5461542785535767-->7.0"
E1_4_Conditioning_11-timesPerWeek,"0.0-->0.17478763185259097","0.17478763185259097-->0.34957526370518194","0.34957526370518194-->3.674787631852591","3.674787631852591-->7.0"
E1_4_Conditioning_12-timesPerWeek,"0.0-->0.08337807543819713","0.08337807543819713-->0.16675615087639425","0.16675615087639425-->3.583378075438197","3.583378075438197-->7.0"
E1_4_Conditioning_13-timesPerWeek,"0.0-->0.0405271959955022","0.0405271959955022-->0.0810543919910044","0.0810543919910044-->3.5405271959955025","3.5405271959955025-->7.0"
E1_4_Conditioning_14-timesPerWeek,"0.0-->0.05128928278847948","0.05128928278847948-->0.10257856557695896","0.10257856557695896-->3.5512892827884794","3.5512892827884794-->7.0"
E1_4_Water_18-timesPerWeek,"0.0-->0.0","0.0-->0.0","0.0-->0.0","0.0-->0.0"
E1_4_Water_19-timesPerWeek,"0.0-->0.0","0.0-->0.0","0.0-->0.0","0.0-->0.0"
E1_4_Water_20-timesPerWeek,"0.0-->0.029647186252216743","0.029647186252216743-->0.059294372504433486","0.059294372504433486-->2.029647186252217","2.029647186252217-->4.0"
E1_4_Water_21-timesPerWeek,"0.0-->0.0013858125827921112","0.0013858125827921112-->0.0027716251655842223","0.0027716251655842223-->0.5013858125827921","0.5013858125827921-->1.0"
E1_4_Sports_24-timesPerWeek,"0.0-->0.00305673367312767","0.00305673367312767-->0.00611346734625534","0.00611346734625534-->0.5030567336731276","0.5030567336731276-->1.0"
E1_4_Sports_26-timesPerWeek,"0.0-->0.00414456642407796","0.00414456642407796-->0.00828913284815592","0.00828913284815592-->1.004144566424078","1.004144566424078-->2.0"
E1_4_Sports_27-timesPerWeek,"0.0-->0.0","0.0-->0.0","0.0-->0.0","0.0-->0.0"
E1_4_Sports_28-timesPerWeek,"0.0-->0.0","0.0-->0.0","0.0-->0.0","0.0-->0.0"
E1_4_Sports_32-timesPerWeek,"0.0-->0.025199801227022405","0.025199801227022405-->0.05039960245404481","0.05039960245404481-->1.5251998012270223","1.5251998012270223-->3.0"
E1_4_Sports_33-timesPerWeek,"0.0-->0.0","0.0-->0.0","0.0-->0.0","0.0-->0.0"
E1_4_Sports_34-timesPerWeek,"0.0-->0.0","0.0-->0.0","0.0-->0.0","0.0-->0.0"
E1_4_Sports_37-timesPerWeek,"0.0-->0.0185380507567898","0.0185380507567898-->0.0370761015135796","0.0370761015135796-->1.0185380507567898","1.0185380507567898-->2.0"
E1_4_Sports_42_2-timesPerWeek,"0.0-->0.0","0.0-->0.0","0.0-->0.0","0.0-->0.0"
E1_4_Sports_42_3-timesPerWeek,"0.0-->0.0013815221413593182","0.0013815221413593182-->0.0027630442827186364","0.0027630442827186364-->0.5013815221413593","0.5013815221413593-->1.0"
E2,"1.0-->1.159666712607907","1.159666712607907-->1.3193334252158138","1.3193334252158138-->1.659666712607907","1.659666712607907-->2.0"
E3_Activity_43-daysPerWeek,"1.0-->1.717115054954649","1.717115054954649-->2.434230109909298","2.434230109909298-->4.717115054954649","4.717115054954649-->7.0"
E3_Activity_44-minsPerDay,"0.0-->0.4613536495742075","0.4613536495742075-->0.922707299148415","0.922707299148415-->7.961353649574208","7.961353649574208-->15.0"
E3_Activity_45-minsPerDay,"0.0-->13.330016765166032","13.330016765166032-->26.660033530332065","26.660033530332065-->73.33001676516602","73.33001676516602-->120.0"
E3_Activity_46-minsPerDay,"0.0-->13.78844524472513","13.78844524472513-->27.57689048945026","27.57689048945026-->103.78844524472514","103.78844524472514-->180.0"
E3_Activity_48-minsPerDay,"0.0-->14.993978143539541","14.993978143539541-->29.987956287079083","29.987956287079083-->104.99397814353955","104.99397814353955-->180.0"
E3_Activity_49-minsPerDay,"0.0-->2.5147400313236195","2.5147400313236195-->5.029480062647239","5.029480062647239-->17.51474003132362","17.51474003132362-->30.0"
E3_Activity_50-minsPerDay,"0.0-->5.281869204346336","5.281869204346336-->10.563738408692672","10.563738408692672-->50.281869204346336","50.281869204346336-->90.0"
E3_Activity_51-minsPerDay,"0.0-->0.28300542460668854","0.28300542460668854-->0.5660108492133771","0.5660108492133771-->30.28300542460669","30.28300542460669-->60.0"
E3_Activity_52-minsPerDay,"0.0-->0.7024662528458774","0.7024662528458774-->1.4049325056917548","1.4049325056917548-->45.70246625284587","45.70246625284587-->90.0"
E3_Yardwork_56-minsPerDay,"0.0-->0.8944974719282939","0.8944974719282939-->1.7889949438565877","1.7889949438565877-->15.894497471928295","15.894497471928295-->30.0"
E3_Yardwork_57-minsPerDay,"0.0-->0.021172187462424663","0.021172187462424663-->0.042344374924849326","0.042344374924849326-->7.521172187462425","7.521172187462425-->15.0"
E3_Yardwork_58-minsPerDay,"0.0-->0.3987515339295674","0.3987515339295674-->0.7975030678591348","0.7975030678591348-->15.398751533929566","15.398751533929566-->30.0"
E3_LookingAfterYoungNOld_59-minsPerDay,"0.0-->0.24841113292333944","0.24841113292333944-->0.4968222658466789","0.4968222658466789-->60.248411132923344","60.248411132923344-->120.0"
E3_LookingAfterYoungNOld_60-minsPerDay,"0.0-->0.195053427482342","0.195053427482342-->0.390106854964684","0.390106854964684-->30.195053427482343","30.195053427482343-->60.0"
E4_1,"1.0-->1.1408473992505646","1.1408473992505646-->1.281694798501129","1.281694798501129-->1.6408473992505646","1.6408473992505646-->2.0"
E4_5,"1.0-->1.4635412603110574","1.4635412603110574-->1.9270825206221147","1.9270825206221147-->1.9635412603110574","1.9635412603110574-->2.0"
PartA_breads_1-numberOfServingsEatenPerMonth,"0.0-->10.160035200248997","10.160035200248997-->20.320070400497993","20.320070400497993-->130.16003520024898","130.16003520024898-->240.0"
PartA_breads_2-numberOfServingsEatenPerMonth,"0.0-->7.465140724644073","7.465140724644073-->14.930281449288145","14.930281449288145-->67.46514072464407","67.46514072464407-->120.0"
PartA_breads_N1-numberOfServingsEatenPerMonth,"0.0-->1.0782073161624974","1.0782073161624974-->2.156414632324995","2.156414632324995-->61.0782073161625","61.0782073161625-->120.0"
PartA_breads_3-numberOfServingsEatenPerMonth,"0.0-->0.6933514633884017","0.6933514633884017-->1.3867029267768034","1.3867029267768034-->60.6933514633884","60.6933514633884-->120.0"
PartA_breadsSpreads_4-numberOfServingsEatenPerMonth,"0.0-->4.900441929080243","4.900441929080243-->9.800883858160486","9.800883858160486-->64.90044192908024","64.90044192908024-->120.0"
PartA_breadsSpreads_5-numberOfServingsEatenPerMonth,"0.0-->1.8406440663774037","1.8406440663774037-->3.6812881327548075","3.6812881327548075-->37.84064406637741","37.84064406637741-->72.0"
PartA_breadsSpreads_6-numberOfServingsEatenPerMonth,"0.0-->2.379718393241855","2.379718393241855-->4.75943678648371","4.75943678648371-->62.37971839324186","62.37971839324186-->120.0"
PartA_breadsSpreads_7-numberOfServingsEatenPerMonth,"0.0-->1.3375940701381106","1.3375940701381106-->2.675188140276221","2.675188140276221-->31.33759407013811","31.33759407013811-->60.0"
PartA_breadsSpreads_8-numberOfServingsEatenPerMonth,"0.0-->2.0347499167811622","2.0347499167811622-->4.0694998335623245","4.0694998335623245-->50.034749916781166","50.034749916781166-->96.0"
PartA_otherBread_9-numberOfServingsEatenPerMonth,"0.0-->0.9910992599992858","0.9910992599992858-->1.9821985199985717","1.9821985199985717-->15.991099259999284","15.991099259999284-->30.0"
PartA_otherBread_N2-numberOfServingsEatenPerMonth,"0.0-->0.5332571609425574","0.5332571609425574-->1.0665143218851147","1.0665143218851147-->12.533257160942558","12.533257160942558-->24.0"
PartA_otherBread_N3-numberOfServingsEatenPerMonth,"0.0-->0.8743637731392643","0.8743637731392643-->1.7487275462785286","1.7487275462785286-->18.87436377313926","18.87436377313926-->36.0"
PartA_otherBread_11-numberOfServingsEatenPerMonth,"0.0-->0.3197714074117812","0.3197714074117812-->0.6395428148235625","0.6395428148235625-->15.31977140741178","15.31977140741178-->30.0"
PartA_otherBread_12-numberOfServingsEatenPerMonth,"0.0-->0.326626278848939","0.326626278848939-->0.653252557697878","0.653252557697878-->20.32662627884894","20.32662627884894-->40.0"
PartA_otherBread_N4-numberOfServingsEatenPerMonth,"0.0-->0.05779595622421331","0.05779595622421331-->0.11559191244842662","0.11559191244842662-->15.057795956224213","15.057795956224213-->30.0"
PartA_Cereals_13-numberOfServingsEatenPerMonth,"0.0-->1.3030328007763388","1.3030328007763388-->2.6060656015526775","2.6060656015526775-->106.30303280077634","106.30303280077634-->210.0"
PartA_Cereals_14-numberOfServingsEatenPerMonth,"0.0-->0.35430920178496844","0.35430920178496844-->0.7086184035699369","0.7086184035699369-->15.354309201784968","15.354309201784968-->30.0"
PartA_Cereals_3001-numberOfServingsEatenPerMonth,"0.0-->2.5019028204621643","2.5019028204621643-->5.003805640924329","5.003805640924329-->107.50190282046216","107.50190282046216-->210.0"
PartA_riceAndPorridge_15-numberOfServingsEatenPerMonth,"0.0-->16.665494163846866","16.665494163846866-->33.33098832769373","33.33098832769373-->121.66549416384687","121.66549416384687-->210.0"
PartA_riceAndPorridge_16-numberOfServingsEatenPerMonth,"0.0-->0.8096381539157743","0.8096381539157743-->1.6192763078315486","1.6192763078315486-->15.809638153915774","15.809638153915774-->30.0"
PartA_flavoredRice_17-numberOfServingsEatenPerMonth,"0.0-->0.7466243802992404","0.7466243802992404-->1.4932487605984808","1.4932487605984808-->12.746624380299242","12.746624380299242-->24.0"
PartA_flavoredRice_18-numberOfServingsEatenPerMonth,"0.0-->0.7719789267626592","0.7719789267626592-->1.5439578535253184","1.5439578535253184-->8.771978926762658","8.771978926762658-->16.0"
PartA_flavoredRice_19-numberOfServingsEatenPerMonth,"0.0-->0.03317763250426343","0.03317763250426343-->0.06635526500852686","0.06635526500852686-->4.033177632504263","4.033177632504263-->8.0"
PartA_flavoredRice_20-numberOfServingsEatenPerMonth,"0.0-->0.3587566811171495","0.3587566811171495-->0.717513362234299","0.717513362234299-->6.358756681117149","6.358756681117149-->12.0"
PartA_flavoredRice_21-numberOfServingsEatenPerMonth,"0.0-->0.45314167533647387","0.45314167533647387-->0.9062833506729477","0.9062833506729477-->6.453141675336474","6.453141675336474-->12.0"
PartA_flavoredRice_22-numberOfServingsEatenPerMonth,"0.0-->0.04712786357105886","0.04712786357105886-->0.09425572714211772","0.09425572714211772-->2.047127863571059","2.047127863571059-->4.0"
PartA_flavoredRice_23-numberOfServingsEatenPerMonth,"0.0-->0.04703144038792205","0.04703144038792205-->0.0940628807758441","0.0940628807758441-->2.5470314403879217","2.5470314403879217-->5.0"
PartA_flavoredRice_24-numberOfServingsEatenPerMonth,"0.0-->0.3759888859044727","0.3759888859044727-->0.7519777718089454","0.7519777718089454-->15.375988885904473","15.375988885904473-->30.0"
PartA_noodle_25-numberOfServingsEatenPerMonth,"0.0-->1.2567633619140035","1.2567633619140035-->2.513526723828007","2.513526723828007-->11.256763361914004","11.256763361914004-->20.0"
PartA_noodle_26-numberOfServingsEatenPerMonth,"0.0-->0.04507902154931387","0.04507902154931387-->0.09015804309862774","0.09015804309862774-->2.0450790215493138","2.0450790215493138-->4.0"
PartA_dryNoodles_27-numberOfServingsEatenPerMonth,"0.0-->1.0276447380253488","1.0276447380253488-->2.0552894760506977","2.0552894760506977-->16.02764473802535","16.02764473802535-->30.0"
PartA_friedNoodles_29-numberOfServingsEatenPerMonth,"0.0-->0.16292499826367987","0.16292499826367987-->0.32584999652735974","0.32584999652735974-->2.16292499826368","2.16292499826368-->4.0"
PartA_friedNoodles_30-numberOfServingsEatenPerMonth,"0.0-->0.3383893709347163","0.3383893709347163-->0.6767787418694327","0.6767787418694327-->6.338389370934717","6.338389370934717-->12.0"
PartA_friedNoodles_31-numberOfServingsEatenPerMonth,"0.0-->0.395737644056889","0.395737644056889-->0.791475288113778","0.791475288113778-->6.395737644056889","6.395737644056889-->12.0"
PartA_friedNoodles_32-numberOfServingsEatenPerMonth,"0.0-->0.8218461867148666","0.8218461867148666-->1.6436923734297333","1.6436923734297333-->6.8218461867148665","6.8218461867148665-->12.0"
PartA_noodlesInGravy_28-numberOfServingsEatenPerMonth,"0.0-->0.3836333260631593","0.3836333260631593-->0.7672666521263186","0.7672666521263186-->4.383633326063159","4.383633326063159-->8.0"
PartA_noodlesInGravy_33-numberOfServingsEatenPerMonth,"0.0-->0.25838667438193186","0.25838667438193186-->0.5167733487638637","0.5167733487638637-->4.258386674381931","4.258386674381931-->8.0"
PartA_noodlesInGravy_34-numberOfServingsEatenPerMonth,"0.0-->0.23652625047756065","0.23652625047756065-->0.4730525009551213","0.4730525009551213-->4.236526250477561","4.236526250477561-->8.0"
PartA_otherNoodles_35-numberOfServingsEatenPerMonth,"0.0-->0.6249078783100047","0.6249078783100047-->1.2498157566200094","1.2498157566200094-->8.624907878310005","8.624907878310005-->16.0"
PartA_otherNoodles_905-numberOfServingsEatenPerMonth,"0.0-->0.05442983032841521","0.05442983032841521-->0.10885966065683042","0.10885966065683042-->4.054429830328416","4.054429830328416-->8.0"
PartA_otherNoodles_906-numberOfServingsEatenPerMonth,"0.0-->0.1803559055614376","0.1803559055614376-->0.3607118111228752","0.3607118111228752-->4.180355905561438","4.180355905561438-->8.0"
PartA_otherNoodles_907-numberOfServingsEatenPerMonth,"0.0-->0.026450103664910785","0.026450103664910785-->0.05290020732982157","0.05290020732982157-->2.026450103664911","2.026450103664911-->4.0"
PartA_Vegetarian_400-numberOfServingsEatenPerMonth,"0.0-->0.45703903141847124","0.45703903141847124-->0.9140780628369425","0.9140780628369425-->15.457039031418471","15.457039031418471-->30.0"
PartA_Vegetarian_401-numberOfServingsEatenPerMonth,"0.0-->0.19133323730103474","0.19133323730103474-->0.3826664746020695","0.3826664746020695-->4.191333237301035","4.191333237301035-->8.0"
PartA_Vegetarian_402-numberOfServingsEatenPerMonth,"0.0-->0.24722891352000373","0.24722891352000373-->0.49445782704000746","0.49445782704000746-->10.247228913520003","10.247228913520003-->20.0"
PartA_soups_600-numberOfServingsEatenPerMonth,"0.0-->0.13766310182655656","0.13766310182655656-->0.2753262036531131","0.2753262036531131-->6.137663101826556","6.137663101826556-->12.0"
PartA_soups_601-numberOfServingsEatenPerMonth,"0.0-->2.5656462889236007","2.5656462889236007-->5.131292577847201","5.131292577847201-->17.565646288923602","17.565646288923602-->30.0"
PartA_PaleGreenVege_36-numberOfServingsEatenPerMonth,"0.0-->4.647700158046834","4.647700158046834-->9.295400316093668","9.295400316093668-->64.64770015804683","64.64770015804683-->120.0"
PartA_PaleGreenVege_40-numberOfServingsEatenPerMonth,"0.0-->0.9212120124205262","0.9212120124205262-->1.8424240248410524","1.8424240248410524-->16.921212012420526","16.921212012420526-->32.0"
PartA_PaleGreenVege_44-numberOfServingsEatenPerMonth,"0.0-->0.8376562112043234","0.8376562112043234-->1.6753124224086469","1.6753124224086469-->15.837656211204322","15.837656211204322-->30.0"
PartA_PaleGreenVege_48-numberOfServingsEatenPerMonth,"0.0-->0.3223344014580797","0.3223344014580797-->0.6446688029161594","0.6446688029161594-->15.32233440145808","15.32233440145808-->30.0"
PartA_PaleGreenVege_52-numberOfServingsEatenPerMonth,"0.0-->1.2836855823427524","1.2836855823427524-->2.567371164685505","2.567371164685505-->21.283685582342752","21.283685582342752-->40.0"
PartA_DarkGreenVege_53-numberOfServingsEatenPerMonth,"0.0-->5.7434293242835635","5.7434293242835635-->11.486858648567127","11.486858648567127-->65.74342932428357","65.74342932428357-->120.0"
PartA_DarkGreenVege_57-numberOfServingsEatenPerMonth,"0.0-->1.118845642752169","1.118845642752169-->2.237691285504338","2.237691285504338-->21.118845642752166","21.118845642752166-->40.0"
PartA_DarkGreenVege_61-numberOfServingsEatenPerMonth,"0.0-->1.0843857556500578","1.0843857556500578-->2.1687715113001156","2.1687715113001156-->21.084385755650057","21.084385755650057-->40.0"
PartA_DarkGreenVege_65-numberOfServingsEatenPerMonth,"0.0-->0.6004953576889073","0.6004953576889073-->1.2009907153778145","1.2009907153778145-->30.600495357688906","30.600495357688906-->60.0"
PartA_DarkGreenVege_69-numberOfServingsEatenPerMonth,"0.0-->1.5801136059910799","1.5801136059910799-->3.1602272119821597","3.1602272119821597-->31.58011360599108","31.58011360599108-->60.0"
PartA_tomatoes_70-numberOfServingsEatenPerMonth,"0.0-->1.4567577004672347","1.4567577004672347-->2.9135154009344695","2.9135154009344695-->16.456757700467236","16.456757700467236-->30.0"
PartA_tomatoes_74-numberOfServingsEatenPerMonth,"0.0-->0.36696119783960574","0.36696119783960574-->0.7339223956792115","0.7339223956792115-->10.366961197839606","10.366961197839606-->20.0"
PartA_tomatoes_78-numberOfServingsEatenPerMonth,"0.0-->1.7919557962789578","1.7919557962789578-->3.5839115925579157","3.5839115925579157-->106.79195579627896","106.79195579627896-->210.0"
PartA_tomatoes_82-numberOfServingsEatenPerMonth,"0.0-->1.7809016382628424","1.7809016382628424-->3.561803276525685","3.561803276525685-->16.780901638262844","16.780901638262844-->30.0"
PartA_Legumes_83-numberOfServingsEatenPerMonth,"0.0-->1.311148681851912","1.311148681851912-->2.622297363703824","2.622297363703824-->16.31114868185191","16.31114868185191-->30.0"
PartA_Legumes_87-numberOfServingsEatenPerMonth,"0.0-->0.11842811865980797","0.11842811865980797-->0.23685623731961594","0.23685623731961594-->6.118428118659808","6.118428118659808-->12.0"
PartA_Legumes_91-numberOfServingsEatenPerMonth,"0.0-->0.22637032937819068","0.22637032937819068-->0.45274065875638136","0.45274065875638136-->15.22637032937819","15.22637032937819-->30.0"
PartA_Legumes_95-numberOfServingsEatenPerMonth,"0.0-->0.9591408116041343","0.9591408116041343-->1.9182816232082687","1.9182816232082687-->15.959140811604135","15.959140811604135-->30.0"
PartA_Legumes_354-numberOfServingsEatenPerMonth,"0.0-->0.26450032177224914","0.26450032177224914-->0.5290006435444983","0.5290006435444983-->8.26450032177225","8.26450032177225-->16.0"
PartA_mixedVegetables_99-numberOfServingsEatenPerMonth,"0.0-->1.0621291035536573","1.0621291035536573-->2.1242582071073146","2.1242582071073146-->16.06212910355366","16.06212910355366-->30.0"
PartA_mixedVegetables_103-numberOfServingsEatenPerMonth,"0.0-->0.2729017064921997","0.2729017064921997-->0.5458034129843994","0.5458034129843994-->6.272901706492199","6.272901706492199-->12.0"
PartA_mixedVegetables_107-numberOfServingsEatenPerMonth,"0.0-->0.23948633579684106","0.23948633579684106-->0.4789726715936821","0.4789726715936821-->10.239486335796842","10.239486335796842-->20.0"
PartA_mixedVegetables_700-numberOfServingsEatenPerMonth,"0.0-->0.025337901894319365","0.025337901894319365-->0.05067580378863873","0.05067580378863873-->2.025337901894319","2.025337901894319-->4.0"
PartA_mixedVegetables_111-numberOfServingsEatenPerMonth,"0.0-->0.32998147064601224","0.32998147064601224-->0.6599629412920245","0.6599629412920245-->10.329981470646011","10.329981470646011-->20.0"
PartA_mixedVegetables_115-numberOfServingsEatenPerMonth,"0.0-->0.40427513417168043","0.40427513417168043-->0.8085502683433609","0.8085502683433609-->10.40427513417168","10.40427513417168-->20.0"
PartA_tofu_116-numberOfServingsEatenPerMonth,"0.0-->1.3622134998078772","1.3622134998078772-->2.7244269996157544","2.7244269996157544-->16.362213499807876","16.362213499807876-->30.0"
PartA_tofu_120-numberOfServingsEatenPerMonth,"0.0-->1.3113533430955189","1.3113533430955189-->2.6227066861910378","2.6227066861910378-->31.31135334309552","31.31135334309552-->60.0"
PartA_others_349-numberOfServingsEatenPerMonth,"0.0-->0.5009796251420638","0.5009796251420638-->1.0019592502841277","1.0019592502841277-->15.500979625142064","15.500979625142064-->30.0"
PartA_others_121-numberOfServingsEatenPerMonth,"0.0-->0.6540001016219289","0.6540001016219289-->1.3080002032438578","1.3080002032438578-->10.654000101621929","10.654000101621929-->20.0"
PartA_others_125-numberOfServingsEatenPerMonth,"0.0-->0.7929991088582371","0.7929991088582371-->1.5859982177164742","1.5859982177164742-->15.792999108858238","15.792999108858238-->30.0"
PartA_others_126-numberOfServingsEatenPerMonth,"0.0-->0.13738332973554584","0.13738332973554584-->0.2747666594710917","0.2747666594710917-->15.137383329735547","15.137383329735547-->30.0"
