Time Step	Outliers
14	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
15	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Insulin]	[PAI-1]	[Vitamin D BP]
16	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[GCP2]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
17	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
18	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[GCP2]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
19	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
20	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[GCP2]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
21	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
22	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
23	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
24	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Insulin]	[PAI-1]	[Vitamin D BP]
25	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
26	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
27	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Insulin]	[PAI-1]	[Vitamin D BP]
28	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
29	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[GCP2]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
30	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Insulin]	[PAI-1]	[Vitamin D BP]
31	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[GCP2]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
32	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
33	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
34	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
35	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
36	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Insulin]	[PAI-1]	[Vitamin D BP]
37	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
38	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
39	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
40	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Insulin]	[PAI-1]	[Vitamin D BP]
41	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Insulin]	[PAI-1]	[Vitamin D BP]
42	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
43	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
44	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
45	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[GCP2]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
46	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
47	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
48	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[GCP2]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
49	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
50	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[GCP2]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
51	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
52	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[GCP2]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
53	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[GCP2]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
54	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
55	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
56	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
57	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
58	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
59	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
60	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
61	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[GCP2]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
62	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
63	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
64	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Insulin]	[PAI-1]	[Vitamin D BP]
65	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Insulin]	[PAI-1]	[Vitamin D BP]
66	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
67	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
68	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[GCP2]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
69	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
70	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
71	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Insulin]	[PAI-1]	[Vitamin D BP]
72	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
73	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
74	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
75	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
76	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
77	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
78	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Insulin]	[PAI-1]	[Vitamin D BP]
79	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
80	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Insulin]	[PAI-1]	[Vitamin D BP]
81	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
82	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[GCP2]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
83	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
84	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
85	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
86	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
87	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
88	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
89	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
90	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
91	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
92	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
93	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
94	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[GCP2]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
95	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
96	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[GCP2]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
97	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
98	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
99	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
